ID;Name;Test value bioregion 1;Test value bioregion 2;Test value bioregion 3;Test value bioregion 4;Test value bioregion 5;Test value bioregion 6;Test value bioregion 7;Test value bioregion 8;Species group
80184;Adenostyles alpina (L.) Bluff & Fingerh., 1825;-5,05828385825894;-5,27627223174939;-10,4644536449571;-13,9373040577164;-4,16436802750249;-4,74793279667805;20,2475774158551;24,573565473085;p
80190;Adenostyles leucophylla (Willd.) Rchb., 1831;-3,46552531161458;-3,61487324208619;-7,16939380924712;-10,2226715179039;-2,85308678013886;-3,25289796812556;-1,3550810758981;35,9168145377681;s
80211;Adonis aestivalis L., 1762;-3,56107071493974;-3,71453620536823;-5,87209970659078;4,66627334166248;-2,93174709931657;-3,34258118218217;11,5428890350495;-1,38961250062382;i
80212;Adonis annua L., 1753;2,08988558930648;-1,82504301813027;4,53174837499073;8,79957580520414;-3,62567370950988;-4,13374970745787;-5,77648501417563;-5,24532973799056;t
80224;Adonis flammea Jacq., 1776;-3,70365228901996;-4,16805190834032;-7,54896297947941;11,771169067011;-3,68103070809227;-4,19686404013913;9,37076592812927;-4,67357537308331;n
80238;Adonis pyrenaica DC., 1815;-0,98475413556893;-1,02719243249254;-2,03723521496633;-2,90484620616677;-0,810725287869792;-0,924334534784568;1,67694484807293;7,74816029675733;j
80240;Adonis vernalis L., 1753;-1,12610943681338;-1,17463948601226;-2,32966759693443;4,88430113593314;-0,927099835743225;-1,05701697997139;1,0176482604528;-1,39824486428138;e
80243;Adoxa moschatellina L., 1753;-2,66206061328453;-2,77678297357189;-5,50720573783108;-5,71637052679484;-0,688051099425356;5,62145000519861;9,41127367771609;4,43785675655263;i
80263;Aegilops biuncialis Vis., 1842;-0,613123621005068;3,98712595518477;4,56644532321319;-1,68190938304453;-1,16837949230719;-1,33210784298003;-2,40379125163885;-1,7621409924429;a
80278;Aegilops geniculata Roth, 1797;-0,806660177788278;0,00879319223655201;9,12908042115228;16,778731372303;-7,04624577361541;-8,03365629095632;-9,97467103380447;-10,6270938528684;t
80288;Aegilops neglecta Req. ex Bertol., 1835;-1,45172880426517;4,52176276027411;2,59858286561582;11,5443218742704;-3,51875115737565;-4,62877747853828;-8,01866074600313;-6,12304670587474;t
80302;Aegilops triuncialis L., 1753;-2,84979986133138;3,38783825099781;1,69948511528091;14,1298207460596;-4,19461074890024;-4,78241351688262;-7,49850556754921;-6,32627977180838;t
80304;Aegilops ventricosa Tausch, 1837;-1,8724277382266;0,414876335774132;3,8435633802811;3,58799708719062;-1,54152641990392;-1,75754491381901;-3,17149329197653;-2,32491832776217;f
80322;Aegopodium podagraria L., 1753;-5,08035647448512;-4,86291890318726;-10,5101169323079;-7,85019237003997;-3,65730476075589;-3,11396764434718;24,9477159449452;8,56899420686683;o
80329;Aeluropus littoralis (Gouan) Parl., 1850;30,1306327918524;1,0756032412003;-3,09707793065953;-7,72761330602194;-2,15673088260956;-2,45895973255072;-4,437197727186;-3,25276498170052;m
80350;Aethionema saxatile (L.) R.Br., 1812;-6,10718589204588;-5,09985233140515;-9,02306082402571;17,3689590610517;-4,80944233192936;-5,53584030460037;7,99363850193775;-4,0471279171318;n
80351;Aethionema thomasianum J.Gay, 1845;-0,669008695190168;-0,697839840575052;-1,3840287882342;-1,97345438817882;-0,550779374673139;-0,627961659361977;1,32862782893842;5,03811542813942;j
80358;Aethusa cynapium L., 1753;-2,92890346198043;-3,05512550085341;-6,05924368170949;-6,69813313042142;-0,589195529745805;0,530966881216807;15,8445884900568;3,40106821161722;i
